,title,imdb_rating,US_box_office,runtime
33,Bones,4.4,7.31,96
34,The Forsaken,5.3,7.29,90
35,Phantasm II,6.4,7.28,97
36,Transylvania 6-5000,4.9,7.20,93
37,The Green Inferno,5.3,7.19,100
38,The Orphanage,7.4,7.16,105
39,Turistas,5.4,7.03,93
40,Bug,6.1,7.01,102
41,Eraserhead,7.3,7.00,89
42,Cat People,6.2,7.00,118
43,Parasite,4.0,7.00,85
44,Children of the Corn II: The Final Sacrifice,4.3,6.98,92
45,Willard,6.1,6.89,100
46,Shut In,4.8,6.88,91
47,Trick or Treat,5.8,6.80,98
48,Nightmares,5.7,6.67,99
49,The Dead Don't Die,5.4,6.56,104
0,Motel Hell,6.0,6.34,101
1,The Unholy,5.0,6.34,102
2,Amityville 3-D,4.2,6.33,105
3,Ezra,6.6,6.07,147
4,Piranha,5.9,6.00,94
5,The Hunger,6.6,5.98,97
6,Captive State,6.0,5.96,109
7,Evil Dead II,7.7,5.92,84
8,Night of the Living Dead,6.8,5.84,92
9,The Hunt,6.5,5.81,90
10,Day of the Dead,7.1,5.80,101
11,Screamers,6.3,5.78,108
12,Victor Frankenstein,5.9,5.78,110
13,Leatherface: Texas Chainsaw Massacre III,5.0,5.77,85
14,Mary Reilly,5.8,5.71,108
15,My Bloody Valentine,6.2,5.67,90
16,Phantoms,5.4,5.66,96
17,Elvira: Mistress of the Dark,6.5,5.60,96
18,Bordello of Blood,5.4,5.59,87
19,Troll,4.6,5.45,82
20,Split Second,6.0,5.43,90
21,Silver Bullet,6.4,5.40,95
22,Monkey Shines,6.2,5.34,113
23,Venom,5.8,5.23,92
24,Alone in the Dark,2.4,5.18,96
25,Student Bodies,5.4,5.17,86
26,Dawn of the Dead,7.8,5.10,127
27,Ghost in the Machine,4.6,5.09,95
28,The Watcher in the Woods,6.1,5.00,84
29,"The Beast from 20,000 Fathoms",6.6,5.00,80
30,Club Dread,5.6,4.99,104
31,Innocent Blood,6.2,4.97,112
32,Vamp,5.9,4.94,93
33,The Apparition,4.1,4.93,82
34,Invaders from Mars,5.5,4.88,100
35,Rachel's Attic,3.6,4.80,112
36,Abbott and Costello Meet Frankenstein,7.3,4.80,83
37,Incarnate,5.3,4.79,87
38,Creature,4.4,4.78,95
39,Don't Let Go,6.4,4.69,103
40,C.H.U.D.,5.6,4.65,88
41,The Boogey Man,4.6,4.50,82
42,Mindhunters,6.3,4.48,106
43,The Company of Wolves,6.6,4.39,95
44,Pumpkinhead,6.2,4.39,86
45,The Bride of Frankenstein,7.8,4.36,75
46,The Pit and the Pendulum,7.0,4.36,80
47,Dark Angel,6.1,4.35,91
48,Lisa,5.9,4.35,95
49,Mortuary,5.1,4.32,93
0,The Omen,7.5,4.27,111
1,Brainscan,6.0,4.26,96
2,Popcorn,5.9,4.21,91
3,Twin Peaks: Fire Walk with Me,7.2,4.16,134
4,Godzilla 1985,6.1,4.12,87
5,Black Christmas,7.1,4.05,98
6,What Ever Happened to Baby Jane?,8.0,4.05,134
7,Idle Hands,6.2,4.00,92
8,House of Dark Shadows,6.3,4.00,97
9,Cat People,7.2,4.00,73
10,Blood Feast,5.0,4.00,67
11,Ingagi,4.3,4.00,85
12,P2,5.9,3.99,98
13,The Phantom of the Opera,5.5,3.95,93
14,Dr. Jekyll and Mr. Hyde,6.8,3.92,113
15,My Demon Lover,4.6,3.92,90
16,Morgan,5.8,3.91,92
17,Warlock: The Armageddon,5.4,3.90,98
18,Damien: Omen II,6.2,3.88,107
19,Critters 2: The Main Course,5.5,3.81,86
20,Curse of Chucky,5.6,3.80,97
21,The Monster Squad,6.9,3.77,79
22,Friend Request,5.2,3.76,92
23,The Keep,5.7,3.76,96
24,The Phantom of the Opera,7.5,3.75,93
25,High Tension,6.7,3.68,91
26,Scouts Guide to the Zombie Apocalypse,6.3,3.64,93
27,Bug,5.2,3.60,99
28,The Bride,5.4,3.60,118
29,Phoenix Forgotten,5.3,3.60,87
30,Dead Heat,6.0,3.59,84
31,Blood and Chocolate,5.3,3.53,98
32,The Wraith,5.9,3.50,93
33,Phantom of the Opera,6.4,3.49,92
34,Bad Samaritan,6.4,3.44,110
35,Near Dark,6.9,3.37,94
36,My Boyfriend's Back,5.4,3.34,85
37,What We Do in the Shadows,7.6,3.33,86
38,13 Ghosts,6.0,3.27,85
39,Treehouse,3.8,3.25,100
40,Green Room,7.0,3.22,95
41,Pi,7.3,3.22,84
42,The Skin I Live In,7.6,3.19,120
43,House of Usher,6.9,3.16,79
44,Night of the Demons,6.1,3.11,90
45,Soul Survivors,3.9,3.10,84
46,The Last House on the Left,5.9,3.10,84
47,The Reincarnation of Peter Proud,6.4,3.08,105
48,Night of Dark Shadows,5.4,3.05,95
49,The Fly,7.1,3.00,94
0,Blacula,5.7,3.00,93
1,The Other Side of the Door,5.3,2.99,96
2,Fright Night Part 2,5.9,2.98,104
3,976-EVIL,5.1,2.96,92
4,eXistenZ,6.8,2.84,97
5,Dr. Jekyll and Mr. Hyde,7.6,2.79,98
6,The Pyramid,4.6,2.76,89
7,Deadtime Stories,4.7,2.75,93
8,Hello Mary Lou: Prom Night II,5.7,2.68,97
9,Captivity,4.6,2.63,96
10,The Innocents,7.8,2.62,100
11,The Haunting,7.4,2.62,112
12,The Haunted Palace,6.7,2.62,87
13,Abbott and Costello Meet Dr. Jekyll and Mr. Hyde,6.4,2.62,76
14,Under the Skin,6.3,2.61,108
15,Impulse,5.8,2.50,91
16,"Silent Night, Deadly Night",5.8,2.49,79
17,The Stepfather,6.7,2.49,89
18,Suspiria,6.7,2.47,152
19,Class of 1999,5.9,2.46,99
20,The Hand,5.5,2.45,104
21,Godzilla,7.5,2.42,96
22,Dead of Winter,6.2,2.41,100
23,The Disappointments Room,3.9,2.41,91
24,The Kindred,5.6,2.41,93
25,BloodRayne,2.9,2.41,95
26,The Evil Dead,7.4,2.40,85
27,The Killing of a Sacred Deer,7.0,2.29,121
28,Nomads,5.3,2.28,91
29,Leprechaun 2,4.6,2.26,85
30,The Objective,5.4,2.25,90
31,Jeepers Creepers III,3.9,2.24,100
32,The Hunchback of Notre Dame,7.2,2.22,133
33,Def by Temptation,5.1,2.22,95
34,The Host,7.1,2.20,120
35,Scream Blacula Scream,5.6,2.18,96
36,Train to Busan,7.6,2.13,118
37,Let the Right One In,7.9,2.12,114
38,Videodrome,7.2,2.12,87
39,Ravenous,6.9,2.06,101
40,Gate 2: The Trespassers,4.8,2.03,93
41,Pieces,6.0,2.03,85
42,Re-Animator,7.2,2.02,84
43,Sur le seuil,6.4,2.01,97
44,Bubba Ho-Tep,6.9,2.00,92
45,I Was a Teenage Werewolf,5.1,2.00,76
46,Assassination Nation,6.0,1.96,108
47,Spellbinder,5.8,1.94,99
48,The Curse,5.1,1.93,92
49,Communion,5.5,1.92,107
0,Shin Godzilla,6.8,1.92,120
1,A Sound of Thunder,4.2,1.89,110
2,Only Lovers Left Alive,7.2,1.88,123
3,The Kiss,5.4,1.87,101
4,Lady in a Cage,6.7,1.85,94
5,Tusk,5.3,1.82,102
6,The Mangler,4.3,1.78,106
7,Carnosaur,3.6,1.75,83
8,House III: The Horror Show,5.1,1.74,95
9,Take Shelter,7.3,1.73,120
10,Link,5.9,1.72,103
11,The Vatican Tapes,4.7,1.71,91
12,Lady in White,6.5,1.71,113
13,Tales from the Crypt,6.9,1.70,92
14,The Rain Killer,4.7,1.70,94
15,The Invisible Man's Revenge,5.6,1.67,78
16,Brain Dead,5.9,1.63,85
17,The Haunting of Morella,4.4,1.55,82
18,Stepfather II: Make Room for Daddy,5.6,1.52,93
19,Night Watch,6.4,1.49,114
20,Phantom of the Rue Morgue,5.9,1.45,83
21,Death Machine,5.6,1.42,120
22,The Little Shop of Horrors,6.2,1.40,72
23,Repossessed,4.8,1.38,80
24,Strange Invaders,5.4,1.36,94
25,From a Whisper to a Scream,5.8,1.36,99
26,My Friend Dahmer,6.2,1.36,107
27,Son of Kong,5.6,1.34,70
28,The Neon Demon,6.1,1.33,117
29,Creature from the Black Lagoon,6.9,1.30,79
30,The House on Sorority Row,5.9,1.29,91
31,Night Watch,6.3,1.26,99
32,From Beyond,6.6,1.26,85
33,The Abandoned,5.5,1.26,99
34,The Legend of Blood Mountain,3.2,1.25,76
35,Mojin: The Lost Legend,5.9,1.24,127
36,Slumber Party Massacre III,4.5,1.24,87
37,Peninsula,5.5,1.23,116
38,High Life,5.8,1.23,113
39,The Terror,7.5,1.22,85
40,Mandy,6.5,1.21,121
41,Mute Witness,6.7,1.20,95
42,Nightwatch,6.2,1.20,101
43,Return to Horror High,4.3,1.19,95
44,The Lair of the White Worm,6.0,1.19,93
45,Dylan Dog: Dead of Night,5.1,1.18,107
46,Repentance,4.9,1.18,90
47,Night School,5.6,1.17,88
48,The Remaining,4.3,1.17,88
49,Goodnight Mommy,6.7,1.17,99
0,The Lords of Salem,5.2,1.16,101
1,The Unborn,4.7,1.16,83
2,Nightflyers,4.3,1.15,89
3,Eyes of a Stranger,5.9,1.12,84
4,Possession,7.3,1.11,124
5,Red State,6.1,1.10,88
6,Tarantula,6.4,1.10,80
7,Diabolique,8.1,1.09,117
8,The Return of the Vampire,6.1,1.09,69
9,The Outing,5.1,1.08,87
10,Scream,2.9,1.08,82
11,Of Unknown Origin,6.1,1.08,88
12,Bhool Bhulaiyaa,7.4,1.07,159
13,Driftwood,4.7,1.07,90
14,Bad Moon,5.8,1.06,80
15,The Sender,6.0,1.05,91
16,Skinwalkers,4.5,1.02,110
17,Golmaal Again,4.9,1.01,140
18,Thr3e,4.9,1.01,101
19,Mystery Science Theater 3000: The Movie,7.2,1.01,73
20,Army of the Dead,5.7,1.00,148
21,The Killer Shrews,4.1,1.00,69
22,Children of the Damned,6.2,1.00,89
23,Robot Monster,2.9,1.00,66
24,Mosquito,4.8,0.99,92
25,Don't Look Now,7.1,0.98,110
26,The Most Dangerous Game,7.1,0.97,63
27,Diary of the Dead,5.5,0.96,95
28,Watchers,5.3,0.94,91
29,The Babadook,6.8,0.92,94
30,Gothic,5.7,0.92,87
31,Doctor X,6.4,0.88,76
32,Venom,4.6,0.88,87
33,Parents,6.1,0.87,81
34,Darker Than Night,4.2,0.86,110
35,The Terror Within,4.7,0.86,88
36,The Mask of Fu Manchu,6.2,0.82,68
37,Sarah Landon and the Paranormal Hour,3.8,0.82,81
38,Waxwork,6.1,0.81,95
39,Climax,6.9,0.80,97
40,Dracula: Prince of Darkness,6.7,0.80,90
41,The Toxic Avenger Part II,5.0,0.79,102
42,31,5.1,0.78,102
43,The Church,2.8,0.77,81
44,Ben,5.3,0.77,94
45,The Devil's Backbone,7.4,0.75,106
46,Torso,6.5,0.74,92
47,Vampire's Kiss,6.1,0.73,103
48,The Little Stranger,5.5,0.71,111
49,Hobo with a Shotgun,6.1,0.70,86
0,Killer Party,5.0,0.68,91
1,Maniac Cop,6.0,0.67,85
2,Strangeland,5.0,0.63,85
3,Freaks,7.8,0.63,64
4,Range 15,4.3,0.62,89
5,Cronos,6.7,0.62,94
6,Henry: Portrait of a Serial Killer,7.0,0.61,83
7,Poison,6.3,0.61,85
8,Below,6.1,0.61,105
9,The Signal,6.0,0.60,103
10,Night of the Creeps,6.7,0.59,88
11,House,4.5,0.57,88
12,The Abominable Dr. Phibes,7.1,0.55,94
13,Anna and the Apocalypse,6.0,0.55,93
14,London After Midnight,6.7,0.52,69
15,The Black Cat,6.9,0.51,65
16,Unsullied,4.0,0.51,93
17,Raw,7.0,0.51,99
18,The Eye,6.6,0.50,99
19,Cube,7.2,0.50,90
20,Rodan,6.2,0.50,74
21,A Polish Vampire in Burbank,4.9,0.50,80
22,Flying Saucer Rock 'N' Roll,4.5,0.50,85
23,Jack's Back,5.8,0.49,97
24,Meet the Applegates,5.4,0.49,90
25,Attack of the 50 Foot Woman,5.0,0.48,66
26,Joshua,5.8,0.48,106
27,Little Horror Movie,4.4,0.48,84
28,The Other,6.8,0.48,108
29,Frogs,4.4,0.48,91
30,Apprentice to Murder,4.9,0.47,97
31,Day Watch,6.4,0.45,132
32,Attack on Titan Part 1,5.0,0.45,98
33,Nadja,6.0,0.45,93
34,The Dunwich Horror,5.4,0.45,90
35,The Nightcomers,5.8,0.44,96
36,Body Snatchers,6.0,0.43,87
37,Time Walker,3.6,0.43,83
38,The Bird with the Crystal Plumage,7.1,0.42,96
39,Out of the Dark,5.3,0.42,89
40,One Exciting Night,5.5,0.41,128
41,The Unknown,7.7,0.41,63
42,Antichrist,6.5,0.40,108
43,Boardinghouse,3.7,0.39,98
44,Session 9,6.4,0.38,97
45,Scream and Scream Again,5.5,0.38,95
46,Piranha 3DD,3.8,0.38,83
47,Cut and Run,5.7,0.37,90
48,Mad Love,7.2,0.37,68
49,Karmina,6.7,0.37,110
0,Highwaymen,5.6,0.37,80
1,The Toxic Avenger Part III: The Last Temptation of Toxie,4.3,0.36,102
2,Prison,5.8,0.35,102
3,The Incredible 2-Headed Transplant,3.5,0.35,88
4,Sisters,6.9,0.35,93
5,Murder in the Woods,3.7,0.35,88
6,Aftermath,4.8,0.35,92
7,Two Evil Eyes,6.1,0.35,120
8,Teeth,5.4,0.35,94
9,Kaal,4.7,0.34,126
10,The Legend of Boggy Creek,5.2,0.34,87
11,Frankenstein Unbound,5.4,0.33,85
12,Hood of Horror,4.1,0.33,84
13,Creature,3.6,0.33,93
14,Ju-on: The Grudge,6.7,0.33,92
15,The Cat and the Canary,7.1,0.33,108
16,TerrorVision,5.5,0.32,85
17,Attack on Titan Part 2,4.7,0.31,87
18,K-12,6.4,0.30,96
19,Intacto,6.8,0.30,108
20,The Addiction,6.4,0.30,82
21,Demons,3.7,0.30,105
22,Fido,6.7,0.30,93
23,Thirst,7.1,0.30,134
24,Go Goa Gone,6.6,0.30,111
25,Rumpelstiltskin,4.5,0.29,87
26,Innocence,4.4,0.29,96
27,The Giant Spider Invasion,3.2,0.29,84
28,But Deliver Us from Evil,2.7,0.28,109
29,Blood for Dracula,6.1,0.28,106
30,Octaman,3.4,0.28,79
31,The Wedding Curse,6.3,0.28,110
32,The Endless,6.5,0.27,111
33,Munger Road,4.4,0.27,86
34,Psycho Beach Party,6.0,0.27,95
35,Rare Exports,6.6,0.26,84
36,Dante's Inferno,5.7,0.26,60
37,Blood: The Last Vampire,5.2,0.26,91
38,Alleluia! The Devil's Carnival,6.6,0.26,97
39,Cemetery Man,7.1,0.25,105
40,Frankenstein,5.1,0.25,89
41,Lords of Chaos,6.6,0.25,118
42,Troll Hunter,6.9,0.25,103
43,Dominion,5.2,0.25,117
44,Planet of the Vampires,6.2,0.25,88
45,Equinox,5.2,0.25,82
46,Dead Alive,7.5,0.24,104
47,Soultaker,2.4,0.23,94
48,The Invitation,6.6,0.23,100
49,The Love Witch,6.2,0.23,120
0,Anguish,6.7,0.23,89
1,White of the Eye,6.1,0.23,110
2,The Terminal Man,5.6,0.22,107
3,The Black Waters of Echo's Pond,4.3,0.22,89
4,Tucker and Dale vs Evil,7.5,0.22,89
5,Bloodthirsty Butchers,3.3,0.22,79
6,Dead & Buried,6.5,0.22,94
7,Night of the Living Dead 3D,3.1,0.22,80
8,"Count Yorga, Vampire",5.7,0.21,93
9,Revelation,4.7,0.21,98
10,Frankenhooker,6.2,0.21,85
11,Fear of Rain,5.9,0.20,109
12,The Witches,5.3,0.20,106
13,Dr Jekyll & Sister Hyde,6.6,0.20,94
14,"Filth to Ashes, Flesh to Dust",2.5,0.20,90
15,The New Kids,6.1,0.20,110
16,The Return of Swamp Thing,4.6,0.19,88
17,Hell High,5.1,0.19,84
18,Hellbent,5.5,0.19,84
19,Fury of the Wolfman,3.7,0.19,86
20,Maggie,5.6,0.19,95
21,The Human Centipede (First Sequence),4.4,0.18,92
22,In the Shadow of Kilimanjaro,5.1,0.18,97
23,The Bad Batch,5.2,0.18,118
24,The Afflicted,4.5,0.18,85
25,My Best Friend Is a Vampire,6.0,0.17,89
26,My Name Is Bruce,6.2,0.17,84
27,That Demon Within,5.9,0.17,111
28,The Hanging Woman,5.7,0.17,99
29,Escape from Tomorrow,5.1,0.17,90
30,Fright,5.8,0.17,87
31,Hangman's Curse,4.8,0.17,106
32,Witchboard 2,5.0,0.17,98
33,Tamara,5.0,0.17,98
34,Rampant,6.3,0.17,121
35,The Possession of Joel Delaney,5.7,0.17,105
36,Holla,3.4,0.17,86
37,Horns,6.4,0.16,120
38,Phantom of the Paradise,7.3,0.16,91
39,Deadtime,2.3,0.16,97
40,Hatchet,5.6,0.16,93
41,"Silent Night, Deadly Night Part 2",3.8,0.15,88
42,"I, Madman",5.9,0.15,89
43,Vampire Hunter D: Bloodlust,7.6,0.15,103
44,The Void,5.9,0.15,90
45,May,6.6,0.15,93
46,The Crazies,6.1,0.15,103
47,Razorback,6.0,0.15,95
48,Jinn,4.1,0.15,97
49,Thelma,7.0,0.15,116
0,The Doctor and the Devils,6.1,0.15,93
1,Deadly Renovations,2.8,0.15,85
2,Dahmer,5.6,0.14,101
3,Man-Thing,4.0,0.14,97
4,The Lost Skeleton of Cadavra,6.8,0.14,90
5,Chain Letter,4.1,0.14,96
6,X,6.1,0.14,100
7,Texas Chainsaw Massacre: The Next Generation,3.3,0.14,87
8,John Dies at the End,6.3,0.14,99
9,Repo! The Genetic Opera,6.4,0.14,98
10,Baghead,6.0,0.14,84
11,Severance,6.4,0.14,96
12,Cameron's Closet,5.0,0.14,88
13,Stanley,4.6,0.14,108
14,Ghost Stories,6.4,0.14,98
15,No Place to Hide,5.1,0.14,98
16,The Eclipse,6.0,0.13,88
17,Tigers Are Not Afraid,6.9,0.13,83
18,DOTGA: Da One That Ghost Away,5.2,0.13,103
19,I Saw the Devil,7.8,0.13,144
20,Monster Family,4.8,0.13,93
21,The Night Flier,6.0,0.13,97
22,The Beyond,6.6,0.12,87
23,The Human Centipede 2 (Full Sequence),3.8,0.12,91
24,Afflicted,6.2,0.12,85
25,The Road,5.6,0.12,110
26,The 12 Day Smile,5.2,0.12,83
27,Terror at Red Wolf Inn,5.1,0.12,90
28,Monster from the Ocean Floor,3.8,0.12,64
29,Greedy Guts,7.3,0.12,132
30,Slaughter Creek,3.1,0.12,94
31,Captain Kronos: Vampire Hunter,6.4,0.12,91
32,Gonjiam: Haunted Asylum,6.4,0.12,95
33,Frankenstein and the Monster from Hell,6.3,0.12,93
34,Heart of Midnight,5.4,0.11,93
35,Stomp! Shout! Scream!,4.6,0.11,79
36,The Dead Are Alive!,5.4,0.11,105
37,Pathology,5.9,0.11,95
38,Not of This Earth,4.9,0.11,81
39,Rise: Blood Hunter,4.9,0.11,97
40,Alien Trespass,5.7,0.10,90
41,Demon,6.1,0.10,94
42,The Divine Fury,6.3,0.10,129
43,Edge of Sanity,5.2,0.10,90
44,Revenge,6.4,0.10,108
45,Survival of the Dead,4.8,0.10,90
46,Mojin: The Worm Valley,4.8,0.10,110
47,Riding the Bullet,5.2,0.10,98
48,The House of the Devil,6.3,0.10,95
49,Frankenstein Must Be Destroyed,6.7,0.10,101
0,Wendigo,5.1,0.10,91
1,Martin,7.0,0.10,95
2,V/H/S,5.8,0.10,116
3,The Lure,6.3,0.10,92
4,Rubber,5.7,0.10,82
5,Latin Boys Go to Hell,5.1,0.10,71
6,Cure,7.5,0.09,111
7,I Spit on Your Grave,6.2,0.09,108
8,Evil Bong 3: The Wrath of Bong,3.7,0.09,87
9,Night of the Living Dead,7.8,0.09,96
10,The House That Jack Built,6.8,0.09,152
11,Knights of Badassdom,5.6,0.09,86
12,Summer of 84,6.7,0.09,105
13,Byzantium,6.5,0.08,118
14,Peeping Tom,7.6,0.08,101
15,Eugenie,5.3,0.08,87
16,The Midnight Meat Train,6.0,0.08,100
17,Black Sheep,5.8,0.08,87
18,Pagpag: Nine Lives,5.5,0.08,105
19,The Naked Witch,5.0,0.08,97
20,Inkubus,3.8,0.08,80
21,Three Daughters,7.9,0.08,114
22,Tale of Tales,6.4,0.08,134
23,Life After Beth,5.6,0.08,89
24,Christmas in Wonderland,4.7,0.08,95
25,Fear(s) of the Dark,6.6,0.08,83
26,The Innkeepers,5.5,0.08,101
27,Beyond the Door,4.7,0.08,108
28,We Are What We Are,5.9,0.08,105
29,After Midnight,5.5,0.08,93
30,Three... Extremes,6.9,0.08,125
31,Impulse,4.8,0.08,82
32,No One Lives,5.9,0.07,86
33,The Mirror,5.1,0.07,87
34,Behind the Mask: The Rise of Leslie Vernon,6.7,0.07,92
35,Intruders,5.4,0.07,100
36,The Ghost Bride,5.5,0.07,111
37,From Within,5.6,0.07,89
38,Tideland,6.3,0.07,120
39,Hatchet II,5.4,0.06,85
40,Tragedy Girls,6.0,0.06,98
41,Silent Tongue,5.2,0.06,102
42,The Wicker Man,7.5,0.06,88
43,Cheap Thrills,6.7,0.06,88
44,Phobia,4.2,0.06,91
45,Mother of Tears,5.0,0.06,102
46,Cynthia,4.6,0.06,89
47,God of Vampires,4.1,0.06,144
48,Borgman,6.7,0.06,113
49,Beyond the Black Rainbow,5.9,0.06,110
0,Deep in the woods (En lo profundo del bosque),4.1,0.06,90
1,Cooties,5.7,0.06,88
2,Dracula: Pages from a Virgin's Diary,6.9,0.06,73
3,Clown,5.7,0.06,100
4,Regression,5.6,0.05,106
5,Feast,6.2,0.05,95
6,Twentynine Palms,5.1,0.05,119
7,Evidence of a Haunting,2.4,0.05,80
8,Gozu,6.9,0.05,129
9,Return of the Living Dead III,5.9,0.05,97
10,Not Forgotten,4.7,0.05,96
11,Eyes Without a Face,7.6,0.05,90
12,The Haunting of Borley Rectory,2.8,0.05,92
13,Clinton Road,3.1,0.05,77
14,Turbo Kid,6.7,0.05,93
15,Timber Falls,5.2,0.05,100
16,Pulse,6.5,0.05,119
17,Spring,6.7,0.05,109
18,Lunacy,7.2,0.05,118
19,Beware! The Blob,4.1,0.05,87
20,Deranged: Confessions of a Necrophile,6.4,0.05,84
21,The Zodiac,5.3,0.04,92
22,The Greasy Strangler,5.7,0.04,93
23,Woodshock,4.2,0.04,100
24,Dead Snow,6.3,0.04,91
25,Holla II,6.3,0.04,90
26,Undead,5.4,0.04,97
27,Pulse,5.4,0.04,91
28,Aftershock,4.8,0.04,89
29,The Last Circus,6.5,0.04,107
30,Close Your Eyes,6.1,0.04,108
31,Shed of the Dead,4.5,0.04,82
32,Clarita,6.2,0.04,85
33,Timecrimes,7.1,0.04,92
34,Office Killer,5.1,0.04,82
35,Incident at Loch Ness,6.5,0.04,94
36,Knock Knock,4.9,0.04,99
37,Deadfall Trail,4.0,0.04,98
38,Sightseers,6.5,0.04,88
39,Sacrifice!,5.4,0.04,93
40,Holy Hell,4.1,0.03,89
41,Dave Made a Maze,6.3,0.03,80
42,Killer Unicorn,3.1,0.03,74
43,Big Bad Wolves,6.8,0.03,110
44,Super Dark Times,6.6,0.03,103
45,The Last Winter,5.5,0.03,101
46,Knife + Heart,6.3,0.03,102
47,Tower of Evil,5.6,0.03,89
48,13B: Fear Has a New Address,7.3,0.03,146
49,Deathdream,6.6,0.03,88
0,The Cured,5.6,0.02,95
1,Wind Chill,5.8,0.02,91
2,The Blackcoat's Daughter,5.9,0.02,93
3,The Cry,2.7,0.02,83
4,Bad Milo,5.7,0.02,85
5,Massacre on Aisle 12,4.5,0.02,83
6,The Manson Family,5.4,0.02,95
7,November,7.2,0.02,115
8,Pro Wrestlers vs Zombies,3.2,0.02,91
9,Stake Land,6.4,0.02,98
10,Donkey Punch,5.2,0.02,99
11,Juan of the Dead,6.4,0.02,92
12,The Channel,3.2,0.02,93
13,Cruel World,3.7,0.02,88
14,Goliathon,5.4,0.02,90
15,Piercing,5.5,0.02,81
16,The Day of the Beast,7.3,0.02,99
17,Cthulhu,4.6,0.02,100
18,Save the Green Planet!,7.2,0.01,118
19,The Breed,5.1,0.01,91
20,Kiss of the Damned,5.5,0.01,97
21,The Hallow,5.7,0.01,97
22,Marebito,6.0,0.01,92
23,Buzzard,6.3,0.01,97
24,I Am Fear,3.4,0.01,87
25,Hagazussa,5.8,0.01,102
26,Creepozoids,4.0,0.01,72
27,Like Me,5.2,0.01,80
28,A Beginner's Guide to Snuff,4.9,0.01,87
29,Shaye & Kiki,7.1,0.01,96
30,Destiny,7.6,0.01,114
31,Always Shine,5.6,0.01,85
32,Gory Gory Hallelujah,4.0,0.01,96
33,The Wolves of Kromer,5.9,0.01,82
34,Made Me Do It,5.8,0.01,90
35,Midget Zombie Takeover,3.2,0.01,73
36,"Otto; or, Up with Dead People",5.1,0.01,94
37,A Resurrection,3.9,0.01,89
38,The Autopsy of Jane Doe,6.8,0.01,86
39,Love & Murder,4.5,0.01,87
40,Rogue,6.2,0.01,99
41,Taxidermia,6.8,0.01,91
42,The Sculptress,3.6,0.01,101
43,Circle,3.3,0.01,87
44,Silent Night,5.2,0.01,94
45,The Tenant,3.1,0.01,96
46,Witch Graveyard,6.8,0.01,70
47,Trouble Every Day,5.9,0.01,101
48,Honeymoon,5.7,0.01,87
49,13 Sins,6.3,0.01,93
